scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
conditional,Business Angels,A,0-2y,4,282703.6733959222,201045.83660151903,60894.33309049492,0.7,365524.3375872199,211452.29387285915,107651.6761767709,0.8333333333333334,2437062.459603271,2215244.281773681,-81479.95016165107,0.3
conditional,Business Angels,A,2-4y,2,954489.2039513576,662353.8514390319,79465.01319621365,0.5333333333333333,1034220.2901214483,407154.32068725047,-155.8262902574929,0.8666666666666667,7624668.18261098,6518304.0672338,-6217075.088362148,0.3
conditional,Business Angels,A,4-6y,4,557096.0362229522,367156.79459805397,60726.29499181882,0.6666666666666666,892919.0556419836,515428.34077060816,385814.7678607436,0.8666666666666667,7830146.318374269,6759339.1817159625,-5082724.62514258,0.43333333333333335
conditional,Business Angels,B,0-2y,10,834960.5068018105,603452.5708097189,432273.29483469756,0.6666666666666666,554408.5180714838,318441.4850110333,102040.83289762874,0.6333333333333333,5493228.579371153,4560563.530347905,-3182349.9832526734,0.4
conditional,Business Angels,B,2-4y,3,608383.7806224375,400982.7775029615,83121.7260574299,0.6333333333333333,754131.7346680397,393621.56870099215,287263.81893198006,0.8333333333333334,11274396.037648946,9207608.701733293,-8638153.511709992,0.36666666666666664
conditional,Business Angels,B,4-6y,1,45326.460959060954,16226.03337188684,12964.767408033193,0.8,76470.56296711146,29686.870925099116,24820.2774472504,0.9666666666666667,309994.21361434396,250278.462295625,42245.833169904414,0.9666666666666667
conditional,Business Angels,B,nan,1,193109.20872564008,110417.82685498807,-64059.262659527085,0.5333333333333333,24548.04643273973,11817.774878346125,-3539.981657344412,0.8333333333333334,1732294.5152752749,1476203.761377228,-1384702.0111086073,0.3
conditional,Business Angels,C,0-2y,6,393505.2503432473,251370.0436578141,98387.12915423796,0.7666666666666667,244921.66950176682,163206.93687043973,100623.94459004966,0.6666666666666666,1997162.9861667035,1762114.60940028,265091.8155917863,0.36666666666666664
conditional,Business Angels,C,2-4y,1,40082.491654638376,18737.843427637123,-6067.01757898117,0.9,7275.464859335549,2151.5515818292893,2151.5515818292893,1.0,76624.59290677449,63659.447944146,-34760.24295338189,0.6
conditional,Business Angels,C,4-6y,1,141820.7489140103,64302.828650846575,49833.03912109146,0.9666666666666667,107986.7388409539,52301.63635568415,44273.46435568415,0.9333333333333333,983347.2109330801,775575.9603555112,775575.9603555112,0.4
conditional,Business Angels,C,6-8y,1,39040.66658060222,25215.48928478677,9443.845307937614,0.8,535188.9664063347,104419.92507253676,-90900.6335941299,0.9666666666666667,1369620.5884788067,751119.8335618775,-673677.1334678628,0.3333333333333333
conditional,Business Angels,C,nan,1,22785.608384679465,14099.72234547371,13555.700501906276,0.7666666666666667,19563.940044508287,9418.613381611785,6573.932714945118,0.9666666666666667,111412.40750195332,103209.46457602373,103209.46457602373,0.3333333333333333
conditional,Hybrid Debt-Equity,A,0-2y,3,4003770.5962317325,2577511.6387262414,155177.73298990566,0.6666666666666666,6858949.980294861,4596680.147226372,-2873617.2629324803,0.6,27054313.259195488,24220336.449247707,-23780084.012302298,0.26666666666666666
conditional,Hybrid Debt-Equity,A,2-4y,3,5770630.4151915,3619399.1266119923,-1052570.0948981394,0.6333333333333333,13691404.841034466,6634619.62836644,-3151704.3537487197,0.6666666666666666,30152846.88328876,24330142.383938637,-13561214.122877685,0.7666666666666667
conditional,Hybrid Debt-Equity,B,0-2y,9,9820728.895581083,7439271.626771246,-1721672.8752950884,0.3333333333333333,16235370.640497439,12903661.014271554,-9108084.45786761,0.43333333333333335,177307812.4631008,164268801.28975672,-164268801.28975672,0.03333333333333333
