scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
neutral,Business Angels,A,0-2y,4,674157.8125474511,364677.6376220736,129028.54281621943,0.4,463291.61553481495,289366.70130710053,169470.07111087543,0.7333333333333333,2342399.2472649114,1831437.2877516674,-760450.3051908239,0.7666666666666667
neutral,Business Angels,A,2-4y,2,2722116.1608447083,1013574.1418711958,270609.64333333325,0.3,1311719.4348882155,609915.0264781426,220451.60798123878,0.5333333333333333,8688838.862191947,7548942.494403555,-1021780.8266965031,0.23333333333333334
neutral,Business Angels,A,4-6y,4,4177804.6799043454,1246432.0684631583,257966.7855368416,0.0,1234468.3725751075,852145.6383753704,528061.0577410363,0.7,10770602.575937532,9533995.93754916,6773333.94598555,0.6
neutral,Business Angels,B,0-2y,11,1696772.8220956402,844091.1194555075,451702.6489333332,0.26666666666666666,1582675.438553723,1028055.8345063485,897208.5285995074,0.6,8621144.076114597,7614221.220477107,7614221.220477107,0.5666666666666667
neutral,Business Angels,B,2-4y,3,3222675.6819505603,971701.7026666667,174909.41666666663,0.13333333333333333,1873964.4242629595,714276.0936069231,619680.8766774501,0.7666666666666667,10805421.216618344,10304349.299054045,-1859297.064691611,0.4
neutral,Business Angels,B,4-6y,1,148755.45090621393,31190.23966666667,23017.201000000005,0.5666666666666667,29524.235041164528,10371.118294146778,5483.0356274801115,0.9666666666666667,557991.9942420382,431362.3340772664,336845.28977806517,0.6666666666666666
neutral,Business Angels,C,0-2y,7,661862.5159142107,371704.22160127,131498.7583333334,0.3,323331.3499962128,209136.5537343459,148164.7001462628,0.7,2326378.485500909,1871930.5636553813,473446.6223540882,0.7333333333333333
neutral,Business Angels,C,2-4y,1,48510.48973505605,20346.722273304844,-5400.366397373571,0.8666666666666667,12573.60377874004,8141.679891233102,8141.679891233102,1.0,109614.72979280022,89033.7594422227,89033.7594422227,1.0
neutral,Business Angels,C,4-6y,1,425286.95820457896,89946.81333333332,64512.72066666665,0.8,341164.09289501305,207576.38464573133,199548.21264573134,0.5333333333333333,2326348.9670947706,1915462.0167267635,1365378.1732016674,0.4666666666666667
neutral,Business Angels,C,6-8y,1,134377.93466420667,35292.04666666666,12745.506666666672,0.7666666666666667,537694.8477802784,128598.05766017508,-66722.50100649157,0.8333333333333334,1434224.99828165,883838.312542621,-664283.6498345179,0.4
neutral,Hybrid Debt-Equity,A,0-2y,3,6102008.564930981,2561817.8906817683,554782.9597535339,0.7666666666666667,6768926.542739986,5129505.346660528,-1176406.6316112073,0.5,11352330.563844584,8782824.228151793,-1466192.26837113,0.9333333333333333
neutral,Hybrid Debt-Equity,A,2-4y,3,14679680.591547327,5609743.899568932,961989.5618011471,0.26666666666666666,15180819.6979878,8299843.938059143,1605858.9871109168,0.7,36716502.06103477,27064007.26454962,9858122.336446306,0.7333333333333333
neutral,Hybrid Debt-Equity,B,0-2y,9,19404258.597648215,10760396.177906757,586287.8721880054,0.3333333333333333,15251820.60250157,10905227.976979187,-3655852.1372741684,0.5666666666666667,65866100.30744107,57676023.8613739,-56582672.76875796,0.7666666666666667
neutral,Hybrid Debt-Equity,B,2-4y,7,5787703.992091402,2122662.65260304,732400.4649732782,0.6333333333333333,6413749.157867132,4205716.735953784,921985.3445408879,0.6333333333333333,23420936.73920335,17292040.660884302,8637543.258224215,0.7
neutral,Hybrid Debt-Equity,B,4-6y,3,8077696.257911091,2159575.2220852766,810533.030319156,0.5666666666666667,6595241.5140155265,4480899.836807487,881499.6365707497,0.6,35586814.31023969,31649595.848101284,21093011.88118158,0.4
neutral,Hybrid Debt-Equity,B,6-8y,1,912868.9688013494,179703.9058325873,155051.62838777498,0.9333333333333333,2449957.5548566235,1404407.4461165483,-191232.50033114446,0.6333333333333333,7263573.207848454,5192704.606417185,3785368.4707896733,0.6333333333333333
neutral,Hybrid Debt-Equity,C,0-2y,4,3799849.546619853,1683662.4358995631,202836.5227239454,0.4,5690111.078453922,2933801.0608120873,-1269551.1225273153,0.5333333333333333,12872645.233808069,10631743.010493016,-4570837.235405062,0.5333333333333333
neutral,Hybrid Debt-Equity,C,2-4y,7,10942615.134744613,4827148.208532094,1354842.3814577758,0.1,10824250.239351153,6721079.763745937,-2441484.3204679885,0.6333333333333333,35105845.84164973,31509841.537084952,-10662670.166804751,0.6333333333333333
neutral,Hybrid Debt-Equity,D,10-15y,1,17546.653626566032,3203.566000000015,3203.566000000015,0.9666666666666667,29424.985484797086,16919.211213336937,16419.911712755762,0.6666666666666666,90206.85829217921,40479.99785056697,18440.82397977879,0.9
neutral,Other Private Debt,A,0-2y,1,8222050.814618487,2319523.392378354,508416.84297782305,0.8,4217299.847648505,2602735.144672736,-914608.5745657426,0.43333333333333335,25397709.086737894,23435177.676805697,-22603560.596508216,0.2
neutral,Other Private Debt,B,0-2y,4,14601180.961801747,6557593.663722584,1665147.9731119897,0.5666666666666667,4869230.8328385735,3082548.7267264663,501102.2721134901,0.7,32208330.862522647,22888554.701385602,4169860.499568863,0.7666666666666667
neutral,Other Private Debt,B,2-4y,2,2944888.9695223956,676788.3885064234,440044.2611760077,0.9,3543250.39459966,2705156.8470625966,1158015.4809285854,0.3,26962960.851447552,23916858.806239128,23844948.3905269,0.26666666666666666
neutral,Other Private Debt,B,4-6y,1,2312287.1956327385,630610.7103333331,183026.72433333323,0.7333333333333333,3729188.2981679477,2026685.7710491084,202184.51380081254,0.5666666666666667,7909830.712645905,6704440.383374327,5857938.460022047,0.8
neutral,Other Private Debt,C,0-2y,5,14292248.914757788,7681131.455382007,-2061896.960196347,0.3,4607664.793907681,3418057.791751958,-1255552.9816095636,0.7666666666666667,40986909.95793914,37202294.25010798,-36410131.34885316,0.3
neutral,Other Private Debt,C,2-4y,2,16456292.600648716,3898431.4723333335,2074250.4496666666,0.6,5743843.430283277,3767123.5667304876,1292635.7519327106,0.5333333333333333,55802464.13157115,53129393.458689526,53129393.458689526,0.5333333333333333
neutral,Other Private Debt,C,4-6y,1,2950592.620760266,740738.0876216285,320924.7542882951,0.6666666666666666,2616638.3267619656,1476113.9223038799,450694.10881163244,0.5666666666666667,14339395.529829262,10494939.330942422,10287456.397609089,0.4
neutral,Other Private Debt,D,0-2y,3,7063146.510600702,2977829.2324720323,26.702999999995033,0.7666666666666667,3793829.9896332333,3021172.236208557,-1972196.9129277389,0.4,19797388.921198543,17491862.04240978,7860591.062389751,0.6
neutral,Private Equity,A,0-2y,11,15946709.465327574,12019104.564659093,-2358674.8136518,0.23333333333333334,23693309.892547075,15708727.595092319,-3081830.6900828895,0.6666666666666666,207793244.58704394,177691475.6272872,-177691475.6272872,0.13333333333333333
neutral,Private Equity,A,10-15y,5,3161195.9828723,584082.7260986617,570444.643431995,0.9,7275226.094668312,3345818.188818553,1096952.5827787882,0.6,8281599.173453057,3970785.0593011477,-3965524.248952371,0.1
neutral,Private Equity,A,2-4y,18,23283169.39517406,11564759.345200252,4341788.544247755,0.26666666666666666,32212102.160571888,25693987.538497876,9966314.419662807,0.7333333333333333,125883261.03244847,104349342.4119177,-41758895.252025396,0.8
neutral,Private Equity,A,4-6y,6,11458034.268684588,2832611.3586324146,1386903.7564100316,0.4666666666666667,14585258.20157852,9416725.057653803,3386563.861999683,0.6666666666666666,36739890.635873765,29856702.65987971,20066511.73506539,0.8333333333333334
neutral,Private Equity,A,6-8y,5,6328387.134849938,1978343.0230709314,277537.3696363081,0.23333333333333334,7821854.3972267695,5718157.141208258,1391934.6420536505,0.7666666666666667,40940671.44770848,36231204.80714163,-30611110.205618836,0.6666666666666666
neutral,Private Equity,A,8-10y,3,5522469.01689566,1041620.4421653027,1041620.4421653027,0.9666666666666667,7034947.563878331,3421736.8487571743,1257445.1538615585,0.8,21932809.908402655,13536560.818176797,13151712.233783472,0.36666666666666664
neutral,Private Equity,B,0-2y,32,38944081.101064384,24542489.328412518,-1506502.2619108884,0.3,35830795.48053875,25997061.96307965,-3483515.1569207762,0.6,280937036.81391466,247483829.49850655,-247483829.49850655,0.3
neutral,Private Equity,B,10-15y,1,854447.1897080592,156000.0,156000.0,0.9666666666666667,1645822.9389411402,1044340.3448213512,79302.74924221127,0.4666666666666667,6563666.015022384,4589949.057369952,2654857.775938058,0.13333333333333333
neutral,Private Equity,B,2-4y,27,18730722.88971701,11626337.84282583,2363438.854132618,0.06666666666666667,34877630.332307145,25133277.354939923,2374046.372009072,0.5666666666666667,215341394.09075356,169333343.2272154,-161044053.37936717,0.5
neutral,Private Equity,B,4-6y,12,14591999.6770212,5106160.921033195,31563.190694997556,0.13333333333333333,13241534.72574832,10407499.387672,3344420.5028895293,0.6666666666666666,32283524.356491737,27526404.393291354,4508659.847966373,0.8666666666666667
