quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2018-06-30,538536747.8964002,268496125.59659994,6646393460.805901,495021669.82104033,233095532.8124507,6304626106.6010895,344504219.75528985,680088367.2717013,22809552.33912084,463129969.3097278,5923747352.556738,6572194058.977306
2018-09-30,433190025.45680004,286759943.26170015,7005098000.721401,844222565.7550882,407922565.51141834,6701104761.185793,252952484.1156722,1550241849.5518825,53508816.86946817,1004124220.4745039,5616663343.38515,7877767250.038603
2018-12-31,618645446.1599002,252666713.3743999,7620054877.5888,611922042.0065215,466133169.4452243,6626389319.363647,439178753.8346725,801363663.9739658,166328639.44152036,1073537561.1165996,5599865522.373215,7954867876.604295
2019-03-31,479241772.9529999,173682380.78100014,8290518186.414201,512663928.6350729,200985177.1170665,7058982074.12769,180648147.64956945,764372499.6364237,99403204.43332379,303061354.52265733,6078041828.887169,8272846515.094046
2019-06-30,547998478.083,289187312.7652001,8885300586.518902,494982512.5635859,159873981.00140366,7391161236.900762,342387526.8542608,751197190.5671396,24121331.790728144,361428958.1626829,6169472837.092259,8669714489.441916
2019-09-30,491765461.22460014,309068557.79179996,9323752079.930601,286940864.2346075,252290165.93129474,7560123132.085507,145964863.88075954,431476629.0750508,31636412.312642004,597758117.4635158,6282931951.6104355,8914300131.85777
2019-12-31,526332590.44210005,257075880.1332,10057270274.382502,343924451.7654707,475210031.6549902,7452060562.072662,203907927.1841058,503759845.5934212,110096474.51773949,891027845.7781899,6203390834.505708,8849209393.02235
2020-03-31,424081776.1888,308783282.2122,9664289205.345192,274992984.1592836,304217864.0178398,7195449918.342456,102178807.35944934,538660167.6164019,40258690.10355231,806895328.9053608,6393417579.678611,7955338951.937419
2020-06-30,326323118.0756998,159762575.97779992,10334466074.938498,342104522.8261196,547485473.325278,6882805649.479584,149129992.81889448,533881867.7445322,325922604.8094423,824055814.5948858,6291130183.823883,7407345628.352249
2020-09-30,302978570.07549995,384872205.25560004,10641797981.942299,400358604.0346853,174177420.83570153,7305511374.060202,219026449.8689338,504883906.18246305,70360851.71198757,306215795.3547706,6637006381.711692,7885897927.4860935
