quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2018-06-30,538536747.8964002,268496125.59659994,6646393460.805901,1736938114.2480876,274949008.2531964,7595119762.524655,1541326100.4201481,1948997948.3109121,144402581.43333068,519004141.21453696,7311890941.751118,7951346939.068644
2018-09-30,433190025.45680004,286759943.26170015,7005098000.721401,601653542.4612002,343944518.88190097,8017005149.386419,395350368.89045614,962153021.9041629,76024378.13957523,939148634.2132537,7406503656.639465,8387584526.501062
2018-12-31,618645446.1599002,252666713.3743999,7620054877.5888,483208586.57015884,538452066.7817777,8057182499.066145,345767267.9229436,639905685.5812037,255019090.87743014,743064193.4209749,7572973416.752107,8500745234.959775
2019-03-31,479241772.9529999,173682380.78100014,8290518186.414201,335156917.2130208,310017724.5702608,8146668342.825922,226427998.6467686,467409313.8117378,169606678.76049346,406070995.0589109,7747542978.0050125,8569319010.6295595
2019-06-30,547998478.083,289187312.7652001,8885300586.518902,465529947.2997715,246864429.11852723,8443832660.247192,405026676.5142567,511024151.4740138,161764672.1451691,382934773.2630343,8033329361.601546,8865840321.726574
2019-09-30,491765461.22460014,309068557.79179996,9323752079.930601,531520612.78605556,593997359.9117935,8508332561.39004,375925924.1247977,761270404.731089,143254706.64633042,1652867414.114674,7329355973.070762,9393814338.11008
2019-12-31,526332590.44210005,257075880.1332,10057270274.382502,612467189.0687599,255433914.28928143,8931098118.87103,545275181.5827432,712018657.3536751,47290648.04962114,441504470.28790957,7688288374.948581,9970418114.836151
2020-03-31,424081776.1888,308783282.2122,9664289205.345192,700387783.4357693,605692245.7268354,9162965765.780315,538630421.1147743,933560145.157068,335498625.1582138,943353643.3581427,7869102111.3953705,10413608434.581932
2020-06-30,326323118.0756998,159762575.97779992,10334466074.938498,374483896.9467259,471852943.11786205,9254068424.0354,297806217.92800224,486119078.23900884,395012627.21924883,572797641.9860766,7999137820.580326,10509299223.078608
2020-09-30,302978570.07549995,384872205.25560004,10641797981.942299,499644540.9493381,302662014.1533249,9516654301.457727,432932599.9769971,547519211.252913,137605600.72227925,460157231.9132368,8287999477.293706,10870589286.62412
2020-12-31,358149302.5749998,379753918.3672999,12020091194.031303,297255673.46168983,846399871.197169,9137777074.109358,240741252.42730102,385038904.7148072,146139894.5066571,1658105112.9679487,7491502126.212478,11099890918.57018
