ratio,group_n,n,n_pos,zero_share,dist,aic,bic,ks_p,n_fit,params,Adj Strategy,Grade,AgeBucket
draw_ratio,256,244,81,0.6680327868852459,gamma,-239.44296420492955,-232.25961674091224,0.5693839389595748,81,"(0.5494876132088489, 0, np.float64(0.17162439841907356))",Business Angels,B,20+
rep_ratio,256,244,23,0.9057377049180327,lognorm,-71.846910479133,-68.44042783134554,0.8304974249448518,23,"(np.float64(1.90471045543628), 0, np.float64(0.023386585758321976))",Business Angels,B,20+
rc_ratio_given_rep,256,23,0,1.0,beta,,,,0,no_data,Business Angels,B,20+
draw_ratio,230,230,70,0.6956521739130435,weibull_min,-133.55688547936018,-126.8113997532121,0.8717078363262579,70,"(np.float64(0.7514787715445734), 0, np.float64(0.12333891813317518))",Business Angels,C,20+
rep_ratio,230,230,23,0.9,lognorm,-77.32408613783745,-73.91760349005,0.9631344624660667,23,"(np.float64(1.7843647487829997), 0, np.float64(0.022161600854856814))",Business Angels,C,20+
rc_ratio_given_rep,230,23,0,1.0,beta,,,,0,no_data,Business Angels,C,20+
draw_ratio,177,133,11,0.9172932330827067,beta,-2.2251079547283688,-1.0147675827521851,0.4037130739861531,10,"(np.float64(0.8216166631871537), np.float64(2.7940837291591176), 0, 1)",Hybrid Debt-Equity,A,20+
rep_ratio,177,177,83,0.5310734463276836,gamma,-136.66617567675902,-129.40965385336924,0.9487597426729713,83,"(0.7382028645979917, 0, np.float64(0.21834405776038796))",Hybrid Debt-Equity,A,20+
rc_ratio_given_rep,177,83,9,0.891566265060241,beta,5.326321530213632,5.644087696932975,0.9288525237375128,8,"(np.float64(1.360182481732356), np.float64(2.284908086893272), 0, 1)",Hybrid Debt-Equity,A,20+
draw_ratio,346,277,66,0.7617328519855595,beta,-150.6263923637453,-142.0538534581792,0.16855170255461438,63,"(np.float64(0.33738233615293967), np.float64(1.5933474668399683), 0, 1)",Hybrid Debt-Equity,B,20+
rep_ratio,346,332,162,0.5120481927710844,weibull_min,-310.47189935684304,-301.2091103511459,0.7880348484031292,162,"(np.float64(0.9009858136514053), 0, np.float64(0.1325350901584319))",Hybrid Debt-Equity,B,20+
rc_ratio_given_rep,346,162,12,0.9259259259259259,beta,5.8735820289819305,7.465163120175413,0.9283170112063961,11,"(np.float64(1.4952670496249019), np.float64(1.9216287804047023), 0, 1)",Hybrid Debt-Equity,B,20+
draw_ratio,216,188,68,0.6382978723404256,weibull_min,-307.63780808105014,-300.9792849655218,0.017078340525782942,68,"(np.float64(0.6185092139059072), 0, np.float64(0.032031870342881755))",Hybrid Debt-Equity,C,20+
rep_ratio,216,211,114,0.4597156398104265,lognorm,-229.8483811214724,-221.63978577628893,0.01451411776820139,114,"(np.float64(1.5233489812254983), 0, np.float64(0.056457200241203376))",Hybrid Debt-Equity,C,20+
rc_ratio_given_rep,216,114,6,0.9473684210526315,beta,-1.4148533699618735,-2.9771017202254724,0.73635985782289,5,"(np.float64(0.8588843582333648), np.float64(5.067313653034828), 0, 1)",Hybrid Debt-Equity,C,20+
draw_ratio,260,250,135,0.46,lognorm,-559.0167611384556,-550.3009368031403,0.05029616209196818,135,"(np.float64(1.278882817526476), 0, np.float64(0.02334015287802467))",Private Equity,A,0-3
rep_ratio,260,111,6,0.9459459459459459,gamma,-12.37835557992264,-13.003077172238475,0.9060046627145255,6,"(0.751469795306099, 0, np.float64(0.10907222518201991))",Private Equity,A,0-3
rc_ratio_given_rep,260,10,5,0.5,beta,-14.253568083266146,-19.480979361026364,0.933249097790539,2,"(np.float64(113165.2471555748), np.float64(16655.541636597565), 0, 1)",Private Equity,A,0-3
draw_ratio,267,265,178,0.3283018867924528,weibull_min,-504.0752047547292,-494.529854103853,0.6531511702569821,178,"(np.float64(1.1932567010302504), 0, np.float64(0.09508145280482444))",Private Equity,A,4-7
rep_ratio,267,239,26,0.891213389121339,lognorm,-108.00317200919491,-104.22888239513047,0.9485106399572059,26,"(np.float64(2.5489928499470706), 0, np.float64(0.010598894814987367))",Private Equity,A,4-7
rc_ratio_given_rep,267,28,12,0.5714285714285714,beta,6.9351463004142335,1.7077350226540147,0.9378128698062408,2,"(np.float64(0.5226714713810942), np.float64(1.0040353066836276), 0, 1)",Private Equity,A,4-7
draw_ratio,267,266,176,0.3383458646616541,gamma,-390.1205877829764,-380.60913579786194,0.4694717371801246,176,"(0.9592957197942631, 0, np.float64(0.1245286792869708))",Private Equity,A,8-11
rep_ratio,267,263,40,0.8479087452471483,gamma,-165.3562552453146,-160.28961688297278,0.9105524429571448,40,"(0.4053471749892933, 0, np.float64(0.16039533688349006))",Private Equity,A,8-11
rc_ratio_given_rep,267,41,21,0.4878048780487805,beta,4.149983981874212,4.93888229121909,0.8986218433249225,9,"(np.float64(0.49242038507634506), np.float64(0.7224042167672541), 0, 1)",Private Equity,A,8-11
draw_ratio,250,250,161,0.356,weibull_min,-282.82730155787596,-273.58308846292255,0.9746058559512207,161,"(np.float64(0.9891851660970126), 0, np.float64(0.14932209550630499))",Private Equity,A,12-15
rep_ratio,250,250,61,0.756,weibull_min,-172.36363578708145,-166.03101419456152,0.9775248236479805,61,"(np.float64(0.7443210570340036), 0, np.float64(0.07736536194759575))",Private Equity,A,12-15
rc_ratio_given_rep,250,61,30,0.5081967213114754,beta,2.213201763889516,5.30355665284864,0.37530596859973997,16,"(np.float64(0.6588387538217866), np.float64(1.2438773360757847), 0, 1)",Private Equity,A,12-15
draw_ratio,223,223,126,0.4349775784753363,weibull_min,-205.09873990151183,-196.5898941806574,0.6718694226621689,126,"(np.float64(1.120434403598698), 0, np.float64(0.16754734141430055))",Private Equity,A,16-19
