Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
ALL,ALL,far,23692,19391,3547,12526,0.9330388444852957,0.972641813991309,1.079042227422505,1.045244542450326,0.02686911228642386,0.0,,,,,
ALL,ALL,final,260,239,37,11,1.0,1.0,0.9867920967195793,1.0,-0.0024333555714762603,0.5788636394620676,,,,,
ALL,ALL,late,1158,1105,287,166,1.0522802379556917,1.0180152437885617,0.9208114486312808,0.9866078582858727,-0.017664166555946995,0.651186881283619,,,,,
ALL,ALL,mid,5355,5306,1472,1624,1.1454005972881631,1.0128618130420006,0.8847510361601671,0.8975015819474678,-0.044107735203960476,0.0,,,,,
ALL,ALL,post_0_4,194,172,22,4,0.9966857388047302,1.0,0.9944106322196001,1.0,-0.000675781940637236,0.509988175023503,,,,,
ALL,ALL,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
ALL,ALL,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
ALL,ALL,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Business Angels,A,far,359,268,45,212,1.0,1.0,1.0,1.0,0.0,0.0,0.9648185345264568,0.8728855585399253,0.4715329124339991,0.6409785662840094,0.2622992591156371
Business Angels,A,final,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.42375299,,,,,
Business Angels,A,late,2,2,1,0,1.0,1.0,1.0,1.0,0.0,1.36076947,0.2159466990173473,1.0,0.10817698364008344,1.0,1.0
Business Angels,A,mid,55,49,8,23,1.0,1.0,0.9832922732362822,0.9888000769929153,-0.007012164770738104,0.0,0.9166033125170301,0.5710324631680204,0.039914524806060614,0.006373040097991496,1.1139999648099664e-05
Business Angels,A,post_0_4,6,6,1,0,1.0,1.0,1.0,1.0,0.0,0.658295105,,,,,
Business Angels,A,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
