Adj Strategy,pre_end_phase,n_obs,rep_p_mult,rep_ratio_mult,p_value_rep_prob,p_value_rep_ratio
ALL,far,19391,0.8948185726103559,0.8795155597503426,,
ALL,mid,5307,1.0,1.0,,
ALL,near,1345,1.0,1.0,,
Business Angels,far,1039,1.0,1.0,0.5837596750708209,0.957535273282921
Business Angels,mid,331,1.0,1.0,0.4496307745283006,0.9878840172037021
Business Angels,near,46,1.0,1.0,,
Hybrid Debt-Equity,far,1185,1.0,0.8152853158294984,0.8706270570416674,3.178075778520932e-05
Hybrid Debt-Equity,mid,490,1.0,1.0,0.7210786314017326,0.010267643039337629
Hybrid Debt-Equity,near,140,1.0,1.0,,
Infrastructure,far,168,1.0,1.0,1.0,1.0
Infrastructure,mid,0,1.0,1.0,,
Infrastructure,near,0,1.0,1.0,,
Other Private Debt,far,507,1.0,0.904700762313316,0.4623453302092351,0.00035405890501013577
Other Private Debt,mid,193,1.0,1.0,0.023133533620410818,0.0004641522233238457
Other Private Debt,near,31,1.0,1.0,,
Private Equity,far,7323,0.9241329212566279,0.8482677891798832,0.003814812963847558,2.251924087109813e-05
Private Equity,mid,1571,1.0,1.0,5.6710192097853e-13,8.913088014058335e-05
Private Equity,near,309,1.0,1.0,,
Special Structure/ FoF,far,211,0.9464100027898248,0.9323291687085322,0.06822669223440658,0.059521672458743416
Special Structure/ FoF,mid,42,1.0,1.0,1.2702291080746164e-05,0.6471542129011512
Special Structure/ FoF,near,25,1.0,1.0,,
TTA,far,912,0.8300912845033689,1.0,0.007370259854154293,0.7184568065321166
TTA,mid,239,1.0,1.0,0.00018192348408185843,0.21197885120654553
TTA,near,63,1.0,1.0,,
Venture Capital,far,8046,0.8362249312788218,0.8827123239630003,1.3107653962229904e-07,0.0301918710382944
Venture Capital,mid,2440,1.0,1.0,0.0,0.7069440349590335
Venture Capital,near,730,1.0,1.0,,
