Adj Strategy,tail_bucket,n_obs,p_rep_floor,rep_ratio_floor,draw_prob_cap,nav_to_commit_p50,omega_drag
ALL,0-3,163,0.12269938650306748,0.33572299172597797,0.018404907975460124,0.0720715313598267,-0.11761965594512785
ALL,12+,60,0.08333333333333333,0.5568965250489769,0.016666666666666666,0.040786292393461716,-0.15198679270753682
ALL,4-7,109,0.045871559633027525,0.29559134918711666,0.009174311926605505,0.08074486499266628,-0.031068337701634693
ALL,8-11,60,0.1,0.6128904613680822,0.03333333333333333,0.03955643043075388,-0.14471002835919614
Business Angels,0-3,5,0.2,0.9507201379417053,0.0,0.367902956,-0.2955413553896022
Business Angels,12+,5,0.2,0.9507201379417053,0.0,0.367902956,-0.2955413553896022
Business Angels,4-7,4,0.0,,0.0,0.32839373000000005,0.00638220315735862
Business Angels,8-11,5,0.2,0.9507201379417053,0.0,0.367902956,-0.2955413553896022
Hybrid Debt-Equity,0-3,19,0.0,,0.0,0.00021833333333333335,-0.18884848648313463
Hybrid Debt-Equity,12+,19,0.0,,0.0,0.00021833333333333335,-0.18884848648313463
Hybrid Debt-Equity,4-7,9,0.0,,0.0,0.0,0.0
Hybrid Debt-Equity,8-11,2,0.0,,0.0,0.0,0.0
Other Private Debt,0-3,1,0.0,,0.0,0.012578833333333332,0.0
Other Private Debt,12+,1,0.0,,0.0,0.012578833333333332,0.0
Other Private Debt,4-7,1,0.0,,0.0,0.012578833333333332,0.0
Other Private Debt,8-11,1,0.0,,0.0,0.012578833333333332,0.0
Private Equity,0-3,62,0.11290322580645161,0.5230053414916815,0.0,0.020998613636363635,-0.10697937254868868
Private Equity,12+,30,0.03333333333333333,0.3285464394346348,0.0,0.0,-0.0995735001762842
Private Equity,4-7,43,0.046511627906976744,0.4970312500690643,0.023255813953488372,0.015781223714285714,-0.006615331855540367
Private Equity,8-11,28,0.14285714285714285,0.5822921078200803,0.07142857142857142,0.0013297045454545454,-0.25384962961520213
Special Structure/ FoF,0-3,4,0.5,0.06936713692408727,0.0,0.7328396085343207,-0.10051289762130891
Special Structure/ FoF,12+,4,0.5,0.06936713692408727,0.0,0.7328396085343207,-0.10051289762130891
Special Structure/ FoF,4-7,1,0.0,,0.0,0.6051744387896512,0.0
Special Structure/ FoF,8-11,4,0.5,0.06936713692408727,0.0,0.7328396085343207,-0.10051289762130891
TTA,0-3,7,0.2857142857142857,0.24776714511468234,0.0,0.09228595505617977,-0.148547189892772
TTA,12+,7,0.2857142857142857,0.24776714511468234,0.0,0.09228595505617977,-0.148547189892772
TTA,4-7,4,0.0,,0.0,0.09191810861423222,-0.10023844524548364
TTA,8-11,1,0.0,,0.0,0.04811760299625468,0.0
Venture Capital,0-3,65,0.12307692307692308,0.2389396496252692,0.046153846153846156,0.0771099,-0.09279342894115278
Venture Capital,12+,30,0.13333333333333333,0.7852466106633191,0.03333333333333333,0.08157258478692342,-0.20440008523878941
Venture Capital,4-7,48,0.0625,0.225981527258874,0.0,0.12158699731749498,-0.056803428569530114
Venture Capital,8-11,29,0.06896551724137931,0.705836160797334,0.0,0.07889781019228452,-0.05430386456296927
