quarter_end,quarter_text,quarter_index,years_from_start,draw_q_mean,rep_q_mean,recall_q_mean,nav_mean,cum_draw_mean,cum_rep_mean,cum_recall_mean,dpi_to_date,rvpi_to_date,tvpi_to_date,nav_share_of_total_value,irr_to_date,is_final
2025-12-31,2025Q4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2026-03-31,2026Q1,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2026-06-30,2026Q2,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2026-09-30,2026Q3,3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2026-12-31,2026Q4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2027-03-31,2027Q1,5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False
2027-06-30,2027Q2,6,1.5,117230456.25918037,0.0,0.0,106561569.3903586,117230456.25918037,0.0,0.0,0.0,0.9089921918819941,0.9089921918819941,1.0,,False
2027-09-30,2027Q3,7,1.75,117942750.2556314,29459.17291806433,0.0,207375815.66689548,235173206.51481175,29459.17291806433,0.0,0.0001252658555565892,0.8818003493686024,0.8819256152241589,0.9998579632415772,-0.6578385990262674,False
2027-12-31,2027Q4,8,2.0,144154546.88810176,69342.62025491544,0.0,332585617.38762,379327753.4029135,98801.79317297977,0.0,0.00026046550057737196,0.8767763877122772,0.8770368532128545,0.9997030164700341,-0.4471841579130778,False
2028-03-31,2028Q1,9,2.25,144686262.99375534,137984.61847315976,339.6837232450069,464121201.17234033,524014016.39666885,236786.41164613952,339.6837232450069,0.00045187037796121966,0.8857037915966912,0.8861556619746525,0.9994900778753089,-0.3021625940042628,False
2028-06-30,2028Q2,10,2.5,330642030.8524159,285820.68677517754,6627.700430978556,791577484.8498256,854656047.2490847,522607.09842131706,6967.384154223563,0.000611482361943677,0.9261942127452412,0.9268056951071848,0.9993402259339019,-0.1936229998010569,False
2028-09-30,2028Q3,11,2.75,320118405.65047216,323209.26471078815,3656.319683535319,1112380060.1611965,1174774452.8995569,845816.3631321052,10623.703837758883,0.00071998191741783,0.9468881940832474,0.9476081760006652,0.9992402113704248,-0.11511209463191904,False
2028-12-31,2028Q4,12,3.0,372177718.2351283,13880095.887673905,415771.27509142004,1475630089.3867784,1546952171.134685,14725912.250806011,426394.9789291789,0.009519306754005585,0.9538950957380976,0.9634144024921033,0.9901191982085988,-0.06845782751812449,False
2029-03-31,2029Q1,13,3.25,351451937.0567497,16820469.79455478,728262.7775447506,1829218685.2681308,1898404108.1914349,31546382.045360792,1154657.7564739296,0.01661731657092456,0.9635560086365302,0.9801733252074548,0.983046552947758,-0.03132096489597119,False
2029-06-30,2029Q2,14,3.5,449817588.1688839,21031175.885481056,1009633.4242432944,2313949575.564716,2348221696.3603187,52577557.93084185,2164291.1807172243,0.02239037226013867,0.9854050744660422,1.007795446726181,0.977782820578448,0.010960066886745331,False
2029-09-30,2029Q3,15,3.75,412769773.8117987,24700819.718315065,945345.2710661227,2770267096.70854,2760991470.172117,77278377.64915691,3109636.451783347,0.02798935762171676,1.003359527414927,1.0313488850366437,0.9728614070099835,0.03827776107526015,False
2029-12-31,2029Q4,16,4.0,413835688.9213834,34131619.00564303,1622255.8409721693,3237120840.2354493,3174827159.0935006,111409996.65479994,4731892.292755516,0.035091673049253654,1.0196211251889804,1.054712798238234,0.9667286932443885,0.05861021838435278,False
2030-03-31,2030Q1,17,4.25,377034799.08342355,40858288.8173901,2416595.0350269396,3681052452.3407087,3551861958.176924,152268285.47219002,7148487.327782456,0.0428699896744707,1.036372611234614,1.0792426009090847,0.9602777080534444,0.07479133796800345,False
2030-06-30,2030Q2,18,4.5,379638528.4027613,47568335.779114716,3391544.5396895725,4156076754.2436037,3931500486.5796857,199836621.25130475,10540031.867472028,0.05082960613471982,1.057122278995136,1.1079518851298558,0.9541229119992315,0.09060648928062726,False
2030-09-30,2030Q3,19,4.75,331734611.5483657,55134012.388992675,2904807.082557629,4603138687.6979265,4263235098.1280513,254970633.6402974,13444838.950029656,0.05980684334116426,1.0797290277796605,1.139535871120825,0.947516489075206,0.1037781082017265,False
2030-12-31,2030Q4,20,5.0,303151158.71135014,71567803.52899514,3608113.9903276414,5040286715.906301,4566386256.839401,326538437.16929257,17052952.940357298,0.07150915818393871,1.1037801956321818,1.1752893538161204,0.9391561252965058,0.11608510678616735,False
2031-03-31,2031Q1,21,5.25,258082233.46610263,81477006.85166098,4618003.623291146,5452972311.747298,4824468490.305504,408015444.02095354,21670956.563648444,0.08457210257271604,1.1302742100409064,1.2148463126136224,0.9303845254378166,0.12728221287351996,False
2031-06-30,2031Q2,22,5.5,214013748.2150278,86169392.17371486,4754825.520348927,5821137580.599925,5038482238.520532,494184836.1946684,26425782.08399737,0.0980820836117064,1.1553355365819862,1.2534176201936926,0.9217482808351221,0.13453026875754148,False
2031-09-30,2031Q3,23,5.75,172031574.34484294,97196607.23372039,5344630.00109844,6149185876.766516,5210513812.865375,591381443.4283888,31770412.085095808,0.113497721082362,1.180149616259235,1.293647337341597,0.9122653308933515,0.13989845752678864,False
2031-12-31,2031Q4,24,6.0,133017252.60690948,152901238.90276992,9358929.339188164,6407066704.227474,5343531065.472284,744282682.3311588,41129341.424283974,0.13928667639651418,1.1990323674970889,1.338319043893603,0.8959241617071485,0.1449863190379913,False
2032-03-31,2032Q1,25,6.25,105355775.22758816,152493832.15100116,8290745.027183448,6644606510.645237,5448886840.699872,896776514.4821599,49420086.451467425,0.1645797647665913,1.2194429256658563,1.3840226904324477,0.8810859345700705,0.14900876605103136,False
2032-06-30,2032Q2,26,6.5,69757219.60520475,163695136.68908963,10615657.387773843,6839202354.706621,5518644060.305077,1060471651.1712495,60035743.839241266,0.19216163238341294,1.2392903546543537,1.4314519870377667,0.8657575426046455,0.15198703154293092,False
2032-09-30,2032Q3,27,6.75,54568286.85132104,170669699.4618182,11109310.31493693,7016779460.463976,5573212347.156398,1231141350.6330676,71145054.1541782,0.22090336307771027,1.259018860827028,1.4799222239047385,0.8507331267079278,0.15419065979152624,False
2032-12-31,2032Q4,28,7.0,36842910.54343257,270735631.1335582,14209381.064605055,7091862145.221278,5610055257.69983,1501876981.766626,85354435.21878326,0.2677116200781252,1.2641340984097547,1.5318457184878798,0.8252359119152094,0.15639084187118046,False
2033-03-31,2033Q1,29,7.25,25600589.441778373,277038688.0200197,14505762.536568172,7075318944.009125,5635655847.141608,1778915669.7866457,99860197.75535142,0.31565370882058164,1.2554561768702945,1.5711098856908763,0.7990887132113125,0.1554571997134842,False
2033-06-30,2033Q2,30,7.5,16336588.810787573,302854642.1077227,13383742.325065214,7039905212.386201,5651992435.952395,2081770311.8943684,113243940.08041663,0.36832503501812935,1.2455616832756666,1.613886718293796,0.7717776403739642,0.15515571353664115,False
2033-09-30,2033Q3,31,7.75,13442503.125581093,291784521.626503,13125968.338231381,6976984380.860739,5665434939.077976,2373554833.520871,126369908.41864802,0.4189536829995186,1.2315002212338901,1.650453904233409,0.7461585071083149,0.1536734546177633,False
2033-12-31,2033Q4,32,8.0,10138726.30616488,367895204.10716254,18700707.69268662,6848340590.098155,5675573665.384141,2741450037.6280336,145070616.11133465,0.4830260691264384,1.2066340768100376,1.6896601459364762,0.7141282699434647,0.15286170314112646,False
2034-03-31,2034Q1,33,8.25,9843536.499786554,391223101.6820301,16594974.226787187,6606392098.853538,5685417201.883927,3132673139.310064,161665590.33812183,0.5510014530282874,1.1619889735909679,1.7129904266192553,0.6783394440121072,0.14990748783326435,False
2034-06-30,2034Q2,34,8.5,6309660.892327973,402841228.51318336,16671543.501994077,6328089901.927285,5691726862.776256,3535514367.823247,178337133.8401159,0.6211672578572627,1.1118049151853768,1.7329721730426393,0.6415595890575336,0.1468478740715874,False
2034-09-30,2034Q3,35,8.75,4960405.115560117,373121056.7531613,17359106.222239368,6062558695.944291,5696687267.891816,3908635424.5764084,195696240.06235528,0.6861242755252887,1.0642252963603307,1.7503495718856192,0.6080072880606704,0.1438670409233075,False
2034-12-31,2034Q4,36,9.0,5001222.535810164,397903370.54935884,17816142.49587328,5760594989.961965,5701688490.427627,4306538795.125767,213512382.55822855,0.7553093793804888,1.0103314131652814,1.7656407925457702,0.5722179830862121,0.1410856275460507,False
2035-03-31,2035Q1,37,9.25,4543788.749941346,375906417.8074386,17758897.72717773,5456525400.931751,5706232279.1775675,4682445212.933206,231271280.2854063,0.8205844038315385,0.9562396225689912,1.7768240264005295,0.5381735097910235,0.1383186741017869,False
2035-06-30,2035Q2,38,9.5,4983515.163605705,356768155.5781562,18983498.404925574,5165869896.057346,5711215794.341173,5039213368.511362,250254778.69033188,0.8823363623388825,0.9045131688380309,1.7868495311769135,0.5062055607123621,0.13578930676860346,False
2035-09-30,2035Q3,39,9.75,4590509.968679476,342479861.9412954,16465176.892632259,4873284519.320945,5715806304.309853,5381693230.452658,266719955.58296412,0.9415457669366323,0.8525979118022899,1.794143678738922,0.47521161315328375,0.1332610945026348,False
2035-12-31,2035Q4,40,10.0,4116310.1931541073,325888896.93901104,16425424.457735568,4593066101.340805,5719922614.503007,5707582127.391668,283145380.0406997,0.997842542995241,0.8029944478086068,1.800836990803848,0.44590068501989766,0.13100331737303839,False
2036-03-31,2036Q1,41,10.25,3858281.1115859286,311667785.1585109,16949406.011619903,4329176434.732314,5723780895.614593,6019249912.5501795,300094786.05231965,1.051621301081243,0.7563490835313443,1.8079703846125872,0.418341522609296,0.1291215752225573,False
