FundID,projection_end_qe,sim_nav_end_mean
Mega Fund 1,2045-03-31,879466.3850251125
Mega Fund 10,2045-03-31,923725.1157761851
Mega Fund 11,2045-03-31,888824.9000544171
Mega Fund 12,2045-03-31,600408.4880815988
Mega Fund 13,2045-03-31,1782905.1711993034
Mega Fund 14,2045-03-31,534578.4741182952
Mega Fund 15,2045-03-31,1015187.7181401869
Mega Fund 2,2045-03-31,548284.0860398416
Mega Fund 3,2045-03-31,125400.1635102445
Mega Fund 4,2045-03-31,2889559.290608887
Mega Fund 5,2045-03-31,3407607.6088603553
Mega Fund 6,2045-03-31,1822883.6751560394
Mega Fund 7,2045-03-31,3201290.0119783445
Mega Fund 8,2045-03-31,10338219.520638987
Mega Fund 9,2045-03-31,5902423.910484132
Mid-sized Fund 1,2045-03-31,737122.0076626282
Mid-sized Fund 10,2045-03-31,2090618.929491983
Mid-sized Fund 11,2045-03-31,1920470.8104754873
Mid-sized Fund 12,2045-03-31,1287040.4534584878
Mid-sized Fund 13,2045-03-31,850372.708936551
Mid-sized Fund 14,2045-03-31,5609985.414463339
Mid-sized Fund 15,2045-03-31,5697772.167225151
Mid-sized Fund 2,2045-03-31,435988.3110644769
Mid-sized Fund 3,2045-03-31,58430.8513647555
Mid-sized Fund 4,2045-03-31,397930.225964033
Mid-sized Fund 5,2045-03-31,372566.8865309879
Mid-sized Fund 6,2045-03-31,58012.837376074254
Mid-sized Fund 7,2045-03-31,710001.578582794
Mid-sized Fund 8,2045-03-31,631857.7101649811
Mid-sized Fund 9,2045-03-31,394500.8840069733
