quarter_end,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_rc_mean,sim_draw_p10,sim_draw_p50,sim_draw_p90,sim_rep_p10,sim_rep_p50,sim_rep_p90,sim_nav_p10,sim_nav_p50,sim_nav_p90,sim_rc_p10,sim_rc_p50,sim_rc_p90,sim_dpi_p05,sim_dpi_p50,sim_dpi_p95
2025-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2027-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2027-06-30,117230456.25918037,0.0,106561569.3903586,0.0,36196262.460243866,102296724.37554243,213921270.08770937,0.0,0.0,0.0,33323521.982753504,92501477.53569347,196993916.4298704,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-30,117942750.2556314,29459.17291806433,207375815.66689548,0.0,38465891.49542879,100379366.4546403,220244254.9221307,0.0,0.0,0.0,98434993.07755484,192525057.5931185,338507194.713901,0.0,0.0,0.0,0.0,0.0,0.0
2027-12-31,144154546.88810176,69342.62025491544,332585617.38762,0.0,54247377.674120486,129499011.95182164,255589808.08662182,0.0,0.0,0.0,189836575.9463434,317376138.8385173,496280971.1804009,0.0,0.0,0.0,0.0,0.0,0.0
2028-03-31,144686262.99375534,137984.61847315976,464121201.17234033,339.6837232450069,53312581.26929896,129199354.65286706,249809364.71111545,0.0,0.0,0.0,288033993.09572047,452643792.1474699,655137361.6834177,0.0,0.0,0.0,0.0,0.0,0.001260315807707976
2028-06-30,330642030.8524159,285820.68677517754,791577484.8498256,6627.700430978556,192456172.24215636,313738445.2096852,495855160.9397705,0.0,0.0,0.0,551952486.7754177,779960003.3415966,1042041426.2152574,0.0,0.0,0.0,0.0,0.0,0.002587874412738373
2028-09-30,320118405.65047216,323209.26471078815,1112380060.1611965,3656.319683535319,185307148.6968149,305234601.80655426,474111747.58429676,0.0,0.0,0.0,846360216.2121587,1098096378.3644702,1400192342.024803,0.0,0.0,0.0,0.0,0.0,0.004043704836672857
2028-12-31,372177718.2351283,13880095.887673905,1475630089.3867784,415771.27509142004,220762010.61944354,353579513.1085023,546838284.1397501,0.0,0.0,52668305.51874376,1156093035.1168258,1473069558.0747323,1797950391.333069,0.0,0.0,0.0,0.0,0.0,0.056597733702203654
2029-03-31,351451937.0567497,16820469.79455478,1829218685.2681308,728262.7775447506,211076159.01284084,336707674.45836115,524183237.70314777,0.0,0.0,70519398.75802235,1482579063.2599087,1828130015.5051265,2191506513.717576,0.0,0.0,0.0,0.0,0.000918567277505938,0.07727265942924291
2029-06-30,449817588.1688839,21031175.885481056,2313949575.564716,1009633.4242432944,287406737.19928885,437078665.8301973,621447918.2408749,0.0,0.0,84866810.03811428,1957503854.387553,2306015180.9936037,2693511976.1857915,0.0,0.0,0.0,0.0,0.006685076714512371,0.08403708586857929
2029-09-30,412769773.8117987,24700819.718315065,2770267096.70854,945345.2710661227,261506632.29895195,397836635.1805273,579099116.8904359,0.0,0.0,99736744.9771404,2382146494.809813,2757523416.830882,3190330461.576333,0.0,0.0,0.0,0.0,0.019668737136948805,0.09025060823322774
2029-12-31,413835688.9213834,34131619.00564303,3237120840.2354493,1622255.8409721693,270790304.8352757,397244735.444044,579183341.0355986,0.0,7487402.42792364,107854288.98329633,2808248993.9849114,3241998438.562285,3670428954.8223786,0.0,0.0,829618.0916763301,0.00010094913014053088,0.028645668113490744,0.0996829293303751
2030-03-31,377034799.08342355,40858288.8173901,3681052452.3407087,2416595.0350269396,231391285.1782044,359323770.523161,543482353.052516,0.0,11087145.508960295,119417035.80758522,3224860303.017222,3664836457.632015,4148700554.229556,0.0,0.0,2468808.665570439,0.0013458246254814284,0.03732405933270092,0.10700675180566939
2030-06-30,379638528.4027613,47568335.779114716,4156076754.2436037,3391544.5396895725,236970561.12008676,364644461.6812222,552191896.9961435,0.0,13979983.12173922,140770299.50540474,3680363719.335992,4145468616.909959,4660992185.599461,0.0,0.0,3865259.19110546,0.004356825143646239,0.044438925283796865,0.11721079512859443
2030-09-30,331734611.5483657,55134012.388992675,4603138687.6979265,2904807.082557629,203565177.49492446,317394392.4895226,479913227.067223,0.0,17061113.296016783,161946065.56437555,4048629291.689624,4596365352.743233,5140274552.911749,0.0,0.0,4026048.491388142,0.008850487743356363,0.054669121948404266,0.1318563056488917
2030-12-31,303151158.71135014,71567803.52899514,5040286715.906301,3608113.9903276414,190735468.54912665,295663961.8711883,423399987.7092045,0.0,37780418.689781666,185884891.7175131,4472890555.434586,5019873803.915651,5609193127.679776,0.0,0.0,8397928.800671235,0.015299250794992898,0.06570636620169204,0.14419049958046584
2031-03-31,258082233.46610263,81477006.85166098,5452972311.747298,4618003.623291146,152183635.90200296,246464476.582094,380893352.3281252,0.0,46784544.91374369,204795787.3289277,4805153651.012277,5449941412.176459,6083499180.04185,0.0,0.0,10854491.86329606,0.024641764915546507,0.08148575079289787,0.16216145917179287
2031-06-30,214013748.2150278,86169392.17371486,5821137580.599925,4754825.520348927,118851321.87774955,202955095.91991496,320549138.02840126,182188.54087587236,52173602.0320227,210684286.55305177,5151167365.147075,5808527271.659944,6487315479.804057,0.0,0.0,8248999.109221536,0.03459045132184703,0.09469174514479997,0.1824722511089873
2031-09-30,172031574.34484294,97196607.23372039,6149185876.766516,5344630.00109844,87702365.70536032,163125208.5660532,265429539.04449847,1139946.567958324,56604359.47473732,236632881.99160716,5415434801.6188545,6126235359.818018,6899217294.30777,0.0,0.0,10881836.753067352,0.04262245610233173,0.10874539585581686,0.19778470402909795
2031-12-31,133017252.60690948,152901238.90276992,6407066704.227474,9358929.339188164,62282815.85593066,124091623.99141845,218523106.0828632,9319582.315318134,111039587.73221554,350368291.65799046,5621467460.841646,6393788919.649677,7199279239.176595,0.0,0.0,24659656.142187342,0.06290684211325873,0.13368215708076292,0.23546131536378162
